Category,State,Rating
Home & Service,Maine,
Home & Service,Montana,
Home & Service,Nebraska,
Home & Service,Nevada,1.056973359
Home & Service,New Hampshire,
Home & Service,New Jersey,
Home & Service,New Mexico,
Home & Service,New York,2.210195171
Home & Service,North Carolina,1.830516498
Home & Service,North Dakota,
Home & Service,Ohio,1.325708267
Home & Service,Oklahoma,
Home & Service,Oregon,
Home & Service,Maryland,
Home & Service,Massachusetts,
Home & Service,Michigan,
Home & Service,Minnesota,2.922072139
Home & Service,Mississippi,
Home & Service,Missouri,
Home & Service,Pennsylvania,2.526483419
Home & Service,Rhode Island,
Home & Service,South Carolina,1.059593717
Home & Service,South Dakota,
Home & Service,Tennessee,
Home & Service,Texas,
Home & Service,Utah,
Home & Service,Vermont,2.27878416
Home & Service,Virginia,
Home & Service,Washington,
Home & Service,West Virginia,
Home & Service,Wisconsin,1.849372256
Home & Service,Wyoming,
Beauty & Spa,Alabama,2.058705912
Beauty & Spa,Alaska,
Beauty & Spa,Arizona,1.207617303
Beauty & Spa,Arkansas,
Beauty & Spa,California,2.875736397
Beauty & Spa,Colorado,
Beauty & Spa,Connecticut,
Beauty & Spa,Delaware,
Beauty & Spa,District of Columbia,
Beauty & Spa,Florida,
Beauty & Spa,Georgia,
Beauty & Spa,Hawaii,
Beauty & Spa,Idaho,
Beauty & Spa,Illinois,1.314577289
Beauty & Spa,Indiana,
Beauty & Spa,Iowa,
Beauty & Spa,Kansas,
Beauty & Spa,Kentucky,
Beauty & Spa,Louisiana,
Beauty & Spa,Maine,
Beauty & Spa,Montana,
Beauty & Spa,Nebraska,
Beauty & Spa,Nevada,1.229293436
Beauty & Spa,New Hampshire,
Beauty & Spa,New Jersey,
Beauty & Spa,New Mexico,
Beauty & Spa,New York,
Beauty & Spa,North Carolina,0.957319227
Beauty & Spa,North Dakota,
Beauty & Spa,Ohio,1.342257815
Beauty & Spa,Oklahoma,
Beauty & Spa,Oregon,
Beauty & Spa,Maryland,
Beauty & Spa,Massachusetts,
Beauty & Spa,Michigan,
Beauty & Spa,Minnesota,
Beauty & Spa,Mississippi,
Beauty & Spa,Missouri,
Beauty & Spa,Pennsylvania,0.801479311
Beauty & Spa,Rhode Island,
Beauty & Spa,South Carolina,1.101966276
Beauty & Spa,South Dakota,
Beauty & Spa,Tennessee,
Beauty & Spa,Texas,
Beauty & Spa,Utah,
Beauty & Spa,Vermont,
Beauty & Spa,Virginia,
Beauty & Spa,Washington,2.36059969
Beauty & Spa,West Virginia,
Beauty & Spa,Wisconsin,1.408274892
Beauty & Spa,Wyoming,
