,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
11511,3629 Butler St,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'BikeParking': True, 'WheelchairAccessible': True}",rAtRO7AC8hFiDfWZrWzPdw,"['Shopping', 'Shoe Stores', ""Women's Clothing"", 'Fashion']",Pittsburgh,"{'Monday': '11:00-18:00', 'Tuesday': '11:00-18:00', 'Friday': '11:00-19:00', 'Wednesday': '11:00-18:00', 'Thursday': '11:00-18:00', 'Sunday': '11:00-16:00', 'Saturday': '11:00-18:00'}",1,40.4662117,-79.9649333,Pavement,Lawrenceville,15201,30,4.5,PA
11568,7920 Moores Chapel Rd,"{'AcceptsInsurance': True, 'ByAppointmentOnly': True, 'BusinessAcceptsCreditCards': True}",0ZTMA0VS-SWnD_BGoIfP3A,"['Doctors', 'Health & Medical', 'Family Practice']",Charlotte,"{'Friday': '8:30-17:00', 'Tuesday': '8:30-17:00', 'Thursday': '8:30-17:00', 'Wednesday': '8:30-17:00', 'Monday': '8:30-17:00'}",1,35.275642,-80.937323,Northwest Family Physicians,Paw Creek,28214,12,4.0,NC
12329,8080 Watts Rd,"{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'AcceptsInsurance': True, 'GoodForKids': True, 'ByAppointmentOnly': False}",QJLP4Yk0kTdXOpq9bxQMOQ,"['Massage', 'Tanning', 'Active Life', 'Fitness & Instruction', 'Beauty & Spas', 'Trainers', 'Gyms']",Madison,{},1,43.0551245,-89.5191235,Princeton Club,,53719,40,3.0,WI
12377,1150 Queen Street W,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': True, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}, 'RestaurantsGoodForGroups': True, 'Caters': True, 'WiFi': 'free', 'RestaurantsReservations': True, 'RestaurantsTableService': True, 'RestaurantsTakeOut': False, 'GoodForKids': False, 'HappyHour': True, 'GoodForDancing': True, 'BikeParking': True, 'OutdoorSeating': True, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': False, 'BestNights': {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': True}, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'CoatCheck': True, 'Smoking': 'outdoor', 'WheelchairAccessible': True}",dc3uoAmNo5STqKV6mlD_aA,"['Restaurants', 'Nightlife', 'Event Planning & Services', 'Bars', 'Hotels', 'Hotels & Travel', 'Lounges', 'Canadian (New)']",Toronto,"{'Monday': '7:30-2:00', 'Tuesday': '7:30-2:00', 'Friday': '7:30-2:00', 'Wednesday': '7:30-2:00', 'Thursday': '7:30-2:00', 'Sunday': '7:30-2:00', 'Saturday': '7:30-2:00'}",1,43.6432048,-79.4246377,The Drake Hotel,Beaconsfield Village,M6J 1J3,306,3.5,ON
12643,770 Las Vegas Blvd N,{'GoodForKids': True},g83WbX_recywc4DEIZ-xug,"['Art Galleries', 'Tours', 'Hotels & Travel', 'Museums', 'Arts & Entertainment', 'Shopping', 'Local Flavor']",Las Vegas,"{'Monday': '8:30-22:00', 'Tuesday': '8:30-22:00', 'Friday': '8:30-22:00', 'Wednesday': '8:30-22:00', 'Thursday': '8:30-22:00', 'Sunday': '8:30-22:00', 'Saturday': '8:30-22:00'}",1,36.1769777,-115.1353116,Neon Museum,,89101,772,4.5,NV
13125,2600 W Harmon Ave,"{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}, 'WiFi': 'free', 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BikeParking': False, 'ByAppointmentOnly': True, 'WheelchairAccessible': True}",WYw3Uf56DT5IwpaLNnCH5Q,"['Beauty & Spas', 'Hotels', 'Resorts', 'Hotels & Travel', 'Event Planning & Services', 'Day Spas']",Las Vegas,"{'Monday': '0:00-0:00', 'Tuesday': '0:00-0:00', 'Friday': '0:00-0:00', 'Wednesday': '0:00-0:00', 'Thursday': '0:00-0:00', 'Sunday': '0:00-0:00', 'Saturday': '0:00-0:00'}",1,36.109300818,-115.178147449,Vdara Hotel,The Strip,89158,2315,4.0,NV
14336,1361 Queens Road,{'WiFi': 'free'},0CVFDxKI1F0rC0N7QZPdwA,"['Public Services & Government', 'Shopping', 'Libraries', 'Bookstores', 'Books', 'Mags', 'Music & Video', 'Education', 'Educational Services']",Charlotte,"{'Monday': '9:00-20:00', 'Tuesday': '9:00-20:00', 'Friday': '9:00-17:00', 'Wednesday': '9:00-20:00', 'Thursday': '9:00-20:00', 'Saturday': '9:00-17:00'}",1,35.196408,-80.827402,Charlotte Mecklenburg Library - Myers Park,Myers Park,28207,5,3.5,NC
15154,"4271 Park Rd, Ste B","{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': True, 'WiFi': 'free', 'RestaurantsReservations': True, 'BusinessAcceptsBitcoin': False, 'RestaurantsTableService': True, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BikeParking': True, 'OutdoorSeating': True, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",k-drEjxKmfqllwfY90STfA,"['Nightlife', 'Tex-Mex', 'Mexican', 'Bars', 'Restaurants', 'Breakfast & Brunch']",Charlotte,"{'Monday': '11:00-22:00', 'Tuesday': '11:00-22:00', 'Friday': '11:00-0:00', 'Wednesday': '11:00-22:00', 'Thursday': '11:00-22:00', 'Sunday': '11:00-22:00', 'Saturday': '11:00-0:00'}",1,35.1735755017,-80.8499310847,Cantina 1511,,28209,440,3.5,NC
15726,1221 Williamson St,"{'DogsAllowed': False, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Caters': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BusinessAcceptsBitcoin': False, 'BikeParking': True, 'RestaurantsTakeOut': True, 'WheelchairAccessible': True}",wWpw4gbA9B6VWt85351TvA,"['Event Planning & Services', 'Wholesale Stores', 'Specialty Food', 'Grocery', 'Food', 'Food Delivery Services', 'Caterers', 'Shopping']",Madison,"{'Monday': '7:30-21:30', 'Tuesday': '7:30-21:30', 'Friday': '7:30-21:30', 'Wednesday': '7:30-21:30', 'Thursday': '7:30-21:30', 'Sunday': '7:30-21:30', 'Saturday': '7:30-21:30'}",1,43.0836597,-89.3627196,Willy Street Grocery Co-Op - East,Williamson - Marquette,53703,119,4.0,WI
17416,1255 E Northern Ave,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'Caters': True, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'quiet', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': True, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",9IIhExGT0f6x26hTjyBbrw,"['Asian Fusion', 'Vegan', 'Restaurants', 'Vegetarian']",Phoenix,"{'Monday': '11:00-20:30', 'Tuesday': '11:00-20:30', 'Friday': '11:00-21:30', 'Wednesday': '11:00-20:30', 'Thursday': '11:00-20:30', 'Sunday': '11:00-20:30'}",1,33.5527294,-112.0547215,Veggie Village,,85020,171,4.5,AZ
19191,3535 Las Vegas Blvd,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}, 'DogsAllowed': False, 'Alcohol': 'full_bar', 'Caters': False, 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}}",f4x1YBxkLrZg652xt2KR5g,"['American (New)', 'Restaurants', 'Breakfast & Brunch']",Las Vegas,"{'Monday': '0:00-0:00', 'Tuesday': '0:00-0:00', 'Friday': '0:00-0:00', 'Wednesday': '0:00-0:00', 'Thursday': '0:00-0:00', 'Sunday': '0:00-0:00', 'Saturday': '0:00-0:00'}",1,36.1181806906,-115.171579781,Hash House A Go Go,The Strip,89109,4774,4.0,NV
19757,2275 Deming Way,"{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'HairSpecializesIn': {'coloring': True, 'africanamerican': False, 'curly': True, 'perms': True, 'kids': True, 'extensions': True, 'asian': True, 'straightperms': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BikeParking': True, 'GoodForKids': False, 'ByAppointmentOnly': False, 'WheelchairAccessible': True}",K0NuLbwC3MW2Ygkro69iAQ,"['Day Spas', 'Beauty & Spas', 'Nail Salons', 'Hair Salons']",Middleton,"{'Monday': '7:00-21:00', 'Tuesday': '7:00-21:00', 'Friday': '7:00-19:00', 'Wednesday': '7:00-21:00', 'Thursday': '7:00-21:00', 'Saturday': '7:00-17:00'}",1,43.0992294,-89.5187102,ANiU Salon Spa,,53562,40,4.0,WI
20948,10300 Cascade Crossing,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'WiFi': 'free'}",BaHJtYIftsaTWJ1UTvJYhA,"['Home Services', 'Event Planning & Services', 'Hotels & Travel', 'Real Estate', 'Hotels', 'Apartments']",Brooklyn,"{'Monday': '0:00-0:00', 'Tuesday': '0:00-0:00', 'Friday': '0:00-0:00', 'Wednesday': '0:00-0:00', 'Thursday': '0:00-0:00', 'Sunday': '0:00-0:00', 'Saturday': '0:00-0:00'}",1,41.424794,-81.757687,Extended Stay America - Cleveland - Brooklyn,Cascade Crossing,44144,11,2.0,OH
21294,72 Rue Jarry Est,"{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'DogsAllowed': False, 'Alcohol': 'beer_and_wine', 'Caters': True, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'free', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': False, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}}",T-TES2u1IA2THb8uBhNdCA,"['Coffee & Tea', 'Food', 'Cafes', 'Restaurants']",Montréal,"{'Monday': '7:00-23:00', 'Tuesday': '7:00-23:00', 'Friday': '7:00-23:00', 'Wednesday': '7:00-23:00', 'Thursday': '7:00-23:00', 'Sunday': '7:00-23:00', 'Saturday': '7:00-23:00'}",1,45.5398304,-73.6307665,Oui Mais Non,Villeray-Saint-Michel-Parc-Extension,H2P 1T1,55,4.5,QC
21639,3181 Westgate,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'BikeParking': True, 'ByAppointmentOnly': False}",FrQ-ibgyStNevDtit9WT0w,"['Shopping', 'Beauty & Spas', 'Cosmetics & Beauty Supply', 'Hair Salons', 'Skin Care']",Fairview Park,"{'Monday': '10:00-21:00', 'Tuesday': '10:00-21:00', 'Friday': '10:00-21:00', 'Wednesday': '10:00-21:00', 'Thursday': '10:00-21:00', 'Sunday': '11:00-18:00', 'Saturday': '10:00-21:00'}",1,41.46052,-81.8498488,Ulta Beauty,,44126,25,3.5,OH
21667,3500 Las Vegas Blvd S,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}, 'BikeParking': True, 'ByAppointmentOnly': False}",hjFlC7rBrnxmVcBeIB79IA,"['Cosmetics & Beauty Supply', 'Shopping', 'Beauty & Spas']",Las Vegas,"{'Monday': '10:00-23:00', 'Tuesday': '10:00-23:00', 'Friday': '10:00-0:00', 'Wednesday': '10:00-23:00', 'Thursday': '10:00-23:00', 'Sunday': '10:00-23:00', 'Saturday': '10:00-0:00'}",1,36.1173432,-115.1763623,INGLOT Cosmetics,The Strip,89109,49,3.5,NV
21955,4949 E Lincoln Dr,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'WiFi': 'paid', 'DogsAllowed': True}",NpgOB1s1qnWBfVykqe5zpQ,"['Venues & Event Spaces', 'Food', 'Event Planning & Services', 'Beer', 'Wine & Spirits', 'Hotels & Travel', 'Hotels']",Paradise Valley,"{'Monday': '12:00-0:00', 'Tuesday': '12:00-0:00', 'Friday': '12:00-0:00', 'Wednesday': '12:00-0:00', 'Thursday': '12:00-0:00', 'Sunday': '12:00-0:00', 'Saturday': '12:00-0:00'}",0,33.5287694,-111.973172,Omni Montelucia Resort & Spa,,85253,213,4.0,AZ
22151,"8125 W Sahara Ave, Ste 110","{'Alcohol': 'full_bar', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantsAttire': 'dressy', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': True, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': False, 'WiFi': 'no', 'RestaurantsReservations': True, 'BYOB': False, 'RestaurantsTableService': True, 'Corkage': True, 'RestaurantsTakeOut': True, 'GoodForKids': False, 'WheelchairAccessible': True, 'OutdoorSeating': False, 'RestaurantsPriceRange2': 3, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",3m2XZFVraCiqjgLxHi5MdA,"['American (New)', 'Restaurants']",Las Vegas,"{'Monday': '17:30-22:00', 'Tuesday': '17:30-22:00', 'Friday': '17:30-22:00', 'Wednesday': '17:30-22:00', 'Thursday': '17:30-22:00', 'Sunday': '17:30-22:00', 'Saturday': '17:30-22:00'}",0,36.1427696,-115.2692867,Rosemary's Restaurant,Westside,89117,323,4.5,NV
22282,10468 16th Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'quiet', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'RestaurantsTableService': True}",cry1N2qJNCpHlFEGK_EB2A,['Restaurants'],Argos,{},0,41.2443711,-86.2623544,Log House Restaurant,,46501,12,4.0,IN
22535,Via San Nullo 48,"{'RestaurantsTableService': True, 'Alcohol': 'beer_and_wine', 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'quiet', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': True, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'RestaurantsDelivery': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}}",UntbR8C0Mxsfd-hNBZXO-w,"['Pizza', 'Restaurants']",Montreal,"{'Monday': '11:30-0:30', 'Tuesday': '11:30-0:30', 'Friday': '11:30-0:30', 'Wednesday': '11:30-0:30', 'Thursday': '11:30-0:30', 'Sunday': '11:30-0:30', 'Saturday': '11:30-0:30'}",1,40.8914165327,14.0926355127,La Chamade,,80078,4,4.5,CA
23270,9848 N Tryon St,"{'AcceptsInsurance': True, 'ByAppointmentOnly': True, 'BusinessAcceptsCreditCards': True}",3wDQ4Z65nJqqXI_lVi3xbA,"['Orthopedists', 'Health & Medical', 'Chiropractors', 'Doctors']",Charlotte,"{'Friday': '9:00-17:00', 'Tuesday': '9:00-17:00', 'Thursday': '9:00-17:00', 'Wednesday': '9:00-17:00', 'Monday': '9:00-17:00'}",1,35.3196003,-80.7349815,Orthocarolina,University City,28262,11,1.5,NC
23613,60 Kendall Park Rd,"{'DogsAllowed': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BikeParking': True, 'GoodForKids': False, 'WheelchairAccessible': True}",txodFNzGjXaHQsQQU70Jjw,"['Sporting Goods', 'Outdoor Gear', 'Hiking', 'Shopping', 'Active Life']",Peninsula,"{'Monday': '10:00-20:00', 'Tuesday': '10:00-20:00', 'Friday': '10:00-20:00', 'Wednesday': '10:00-20:00', 'Thursday': '10:00-20:00', 'Sunday': '11:00-18:00', 'Saturday': '10:00-19:00'}",1,41.219688,-81.492836,Appalachian Outfitters,,44264,15,3.5,OH
23694,1000 Robinson Center Dr,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'BikeParking': False, 'ByAppointmentOnly': False}",moKGjFnMQYtfQkkSAL_uPg,"['Beauty & Spas', 'Nail Salons']",Pittsburgh,{},1,40.4539836,-80.1573292,Avalon Lifestyles Nails & Spa,,15205,14,1.5,PA
